ticker	2020-08-01	2020-05-01	2020-02-01	2019-11-01	2019-08-01
ALXO	32.7	-	-	-	-
PFMT	0.59	0.7	1.0	1.03	1.22
AREB	0.096	0.148	0.273	0.27	0.945
CPPXF	0.009	0.014	0.015	0.011	0.011
ROYL	0.13	0.15	0.16	0.15	0.23
MGLQF	0.92	0.4	0.2728	0.22	-
PMTS	3.0	0.63	0.82	1.91	2.54
NVFY	1.52	1.13	2.13	2.8	4.1
TCRD	3.61	3.1331	5.6901	5.9068	5.4896
TPCS	1.14	1.4	1.56	1.38	1.36
TSGZF	0.31	0.21	0.2	0.15	0.14
USAP	7.19	7.47	13.25	13.42	16.18
SMBC	21.81	23.56	35.22	35.86	34.17
TAIT	2.46	2.396	2.7099	2.4915	3.0215
BSQR	1.48	0.98	1.5	1.07	1.26
OPBK	6.22	6.99	9.82	9.58	9.59
APEN	1.54	2.31	3.01	3.07	2.73
OPNT	9.18	11.78	12.47	15.43	12.09
MCC	14.13	11.8	43.0	43.8	56.0
BBQ	3.0	2.66	4.11	5.01	4.57
AMOT	37.7	28.79	45.74	37.75	39.49
PTVCB	12.8	15.49	15.36	15.58	16.11
QTRRF	0.09	0.04	0.05	0.06	0.05
JCS	4.85	5.6686	6.1028	5.891	3.6292
ICMB	3.14	4.1433	6.5421	5.864	6.2338
NQMLF	0.12	0.085	0.1385	0.1385	0.1385
JFK	10.26	10.18	10.13	9.97	9.9
NEXA	6.29	4.19	7.3	9.84	7.59
MCLDF	2.3643	3.36	4.7	3.2338	3.163
HRVOF	0.0516	0.0519	0.108	0.22	0.42
GWRS	10.39	10.68	12.47	12.02	12.35
MVBF	13.22	13.65	19.76	19.87	17.12
RRRLF	0.1133	0.1068	0.1115	0.12	0.1335
WLDFF	0.1139	0.1274	0.1492	0.2179	0.3424
KIQ	0.7	0.54	0.72	0.77	0.99
TPRFF	5.3	4.21	4.17	3.8	3.88
KERMF	0.12	0.103	0.108	0.104	0.17
CRHM	2.34	2.06	3.91	3.02	2.71
NDVAF	0.206	0.273	0.188	0.201	0.34
LUMO	14.22	9.31	1.64	1.48	-
CALB	13.11	14.62	20.7	19.0	19.45
PED	0.861	0.933	1.5	1.15	1.29
CNFN	0.05	0.05	0.05	0.06	0.08
CXDO	8.84	6.18	4.43	3.5	3.15
CLEU	3.702	-	-	-	-
BANX	16.85	16.34	20.97	21.29	19.97
NODK	16.48	13.51	15.35	17.5	16.81
MJARF	0.06	0.1	0.13	0.4	1.03
MPXOF	0.09	0.095	0.32	0.3985	0.35
TARA	24.94	24.5	32.5	10.0	14.8
BPTH	5.07	5.16	6.33	10.81	13.66
CVLY	11.75	13.94	21.35	21.05	21.51
USAU	8.13	5.11	8.1	8.0	0.99
SMME	0.02	0.01	0.01	0.04	0.04
SHBI	9.27	10.95	15.91	15.17	15.83
ORRF	13.6	15.05	20.14	20.88	21.87
MAGE	1.52	0.83	0.965	1.48	2.0
NFH	8.5	8.1	9.1	10.22	10.22
LUB	1.14	0.84	2.42	1.84	1.16
IEC	9.0	7.24	8.05	6.63	6.0
BETRF	1.87	-	1.07	-	-
VNCE	4.57	5.97	14.77	21.12	14.04
SBFG	12.42	14.41	18.92	16.64	16.19
ALYA	1.63	1.81	2.83	2.71	3.0
